Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.08    451.85     0.38 82100916     0.00     0.00  std::__shared_ptr<pdf, (__gnu_cxx::_Lock_policy)2>::__shared_ptr<hittable_pdf, void>(std::__shared_ptr<hittable_pdf, (__gnu_cxx::_Lock_policy)2> const&)
  0.08    452.23     0.38 164790803     0.00     0.00  ray::ray()
  0.08    452.61     0.38 246302748     0.00     0.00  std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.08    452.98     0.38 82100916     0.00     0.00  hittable_pdf::value(vec3 const&) const
  0.08    453.36     0.38 82100916     0.00     0.00  std::allocator_traits<std::allocator<std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2> > >::allocate(std::allocator<std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2> >&, unsigned long)
  0.07    453.72     0.36 246302748     0.00     0.00  std::allocator<hittable_pdf>::allocator(std::allocator<hittable_pdf> const&)
  0.07    454.08     0.36 82100916     0.00     0.00  std::shared_ptr<hittable_pdf>::~shared_ptr()
  0.07    454.42     0.35 82100916     0.00     0.00  hittable_pdf::~hittable_pdf()
  0.07    454.76     0.34 61584408     0.00     0.00  onb::u() const
  0.07    455.10     0.34 82100916     0.00     0.00  std::shared_ptr<hittable_pdf>::shared_ptr<std::allocator<hittable_pdf>, std::shared_ptr<hittable>&, vec3&>(std::_Sp_alloc_shared_tag<std::allocator<hittable_pdf> >, std::shared_ptr<hittable>&, vec3&)
  0.07    455.44     0.34 82100916     0.00     0.00  void std::allocator_traits<std::allocator<hittable_pdf> >::destroy<hittable_pdf>(std::allocator<hittable_pdf>&, hittable_pdf*)
  0.07    455.78     0.34 50109974     0.00     0.00  __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int)
  0.07    456.12     0.34 61584408     0.00     0.00  onb::local(vec3 const&) const
  0.07    456.45     0.33 164201862     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_Sp_counted_base()
  0.07    456.78     0.33 164201832     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2> > >::~__allocated_ptr()
  0.07    457.11     0.33 82100916     0.00     0.00  std::enable_if<std::__sp_compatible_with<cosine_pdf*, pdf*>::value, std::__shared_ptr<pdf, (__gnu_cxx::_Lock_policy)2>&>::type std::__shared_ptr<pdf, (__gnu_cxx::_Lock_policy)2>::operator=<cosine_pdf>(std::__shared_ptr<cosine_pdf, (__gnu_cxx::_Lock_policy)2>&&)
  0.07    457.44     0.33 82100916     0.00     0.00  std::allocator_traits<std::allocator<std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2> > >::allocate(std::allocator<std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2> >&, unsigned long)
  0.07    457.77     0.33 82100916     0.00     0.00  std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.07    458.10     0.33 146806198     0.00     0.00  std::__shared_ptr<pdf, (__gnu_cxx::_Lock_policy)2>::swap(std::__shared_ptr<pdf, (__gnu_cxx::_Lock_policy)2>&)
  0.07    458.42     0.32 82100916     0.00     0.00  std::__shared_ptr<pdf, (__gnu_cxx::_Lock_policy)2>::__shared_ptr<cosine_pdf, void>(std::__shared_ptr<cosine_pdf, (__gnu_cxx::_Lock_policy)2>&&)
  0.06    458.73     0.31 328403664     0.00     0.00  __gnu_cxx::new_allocator<hittable_pdf>::~new_allocator()
  0.06    459.04     0.31 246302748     0.00     0.00  std::__shared_ptr_access<pdf, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.06    459.35     0.31 14595143     0.00     0.00  random_in_unit_sphere()
  0.06    459.66     0.31 82100916     0.00     0.00  std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.06    459.96     0.31 82100916     0.00     0.00  std::shared_ptr<pdf>::shared_ptr<hittable_pdf, void>(std::shared_ptr<hittable_pdf> const&)
  0.06    460.27     0.31       16     0.02     0.02  std::allocator<solid_color>::~allocator()
  0.06    460.57     0.30 82100916     0.00     0.00  std::allocator<hittable_pdf>::allocator()
  0.06    460.87     0.30 96273425     0.00     0.00  std::__shared_ptr_access<texture, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.06    461.16     0.30 20517372     0.00     0.00  sphere::random(vec3 const&) const
  0.06    461.45     0.29 246302748     0.00     0.00  std::__shared_ptr<pdf, (__gnu_cxx::_Lock_policy)2>::get() const
  0.06    461.74     0.29        1     0.29     0.72  box::box(vec3 const&, vec3 const&, std::shared_ptr<material>)
  0.06    462.03     0.29                             stbi_info_from_callbacks
  0.06    462.32     0.29 246302748     0.00     0.00  __gnu_cxx::__aligned_buffer<hittable_pdf>::_M_ptr()
